bird_ID;TransmGSM;take;number;start;end;start2;end2;start3;end3;comment
497;16329F1C;yes;1;2019-05-11;2019-05-20;;;;;
497;16329F1C;yes;2;2019-05-28;2019-05-28;;;;;
497;16329F1C;yes;3;2019-06-02;2019-06-10;;;;;
497;16329F1C;yes;4;2019-07-02;2019-07-20;;;;;
497;16329F1C;yes;5;2019-07-28;2019-07-31;;;;;
495;3B319F1C;yes;1;2020-07-04;2020-07-04;;;;;
322;BC38EB1D;yes;1;2017-08-25;2017-08-25;;;;;
492;BD319F1C;yes;1;2019-05-18;2019-05-18;;;;;
492;BD319F1C;yes;2;2019-05-22;2019-05-28;;;;;
492;BD319F1C;yes;3;2019-06-09;2019-06-09;;;;;
492;BD319F1C;yes;4;2019-07-13;2019-07-13;;;;;
492;BD319F1C;yes;5;2020-03-22;2020-03-28;;;;;
492;BD319F1C;yes;6;2020-05-12;2020-05-13;;;;;
492;BD319F1C;yes;7;2020-06-04;2020-06-17;;;;;
492;BD319F1C;yes;8;2020-06-25;2020-06-27;;;;;
511;KISA23;yes;1;2019-05-08;2019-05-08;;;;;
511;KISA23;yes;2;2019-05-17;2019-05-29;;;France;;
511;KISA23;yes;5;2019-06-22;2019-06-24;;;;;
511;KISA23;yes;6;2019-07-02;2019-07-02;;;;;
511;KISA23;yes;7;2019-07-26;2019-07-27;;;;;
511;KISA23;yes;8;2019-07-31;2019-07-31;;;;;
511;KISA23;yes;9;2020-05-12;2020-05-13;;;;;
511;KISA23;yes;10;2020-05-22;2020-05-22;;;;;
511;KISA23;yes;11;2020-06-01;2020-06-26;;;;;
511;KISA23;yes;12;2020-07-14;2020-07-14;;;;;
426;KISA25;yes;1;2018-05-16;2018-05-16;;;;;
426;KISA25;yes;2;2018-06-28;2018-06-28;;;;;
426;KISA25;yes;3;2018-07-09;2018-07-09;;;;;
426;KISA25;yes;4;2019-03-08;2019-03-08;;;;;
426;KISA25;yes;5;2019-07-01;2019-07-01;;;;;
426;KISA25;yes;6;2018-06-05;2018-06-06;;;;;
416;KISW01;yes;1;2018-07-22;2018-07-28;;;;;
416;KISW01;yes;2;2019-05-19;2019-05-19;;;;;
416;KISW01;yes;3;2019-07-07;2019-07-08;;;;;
422;KIWS11;no;1;2018-05-27;2018-06-01;;;;;
422;KIWS11;no;2;2018-06-11;2018-06-11;;;;;
422;KIWS11;no;3;2018-07-03;2018-07-09;;;;;
422;KIWS11;no;4;2018-07-16;2018-07-19;;;;;
422;KIWS11;no;5;2018-07-28;2018-07-29;;;;;
422;KIWS11;no;6;2019-06-08;2019-06-09;;;;;
291;KIWS13;yes;1;2018-05-12;2018-05-12;;;;;
291;KIWS13;yes;2;2018-06-10;2018-06-11;;;;;
291;KIWS13;yes;3;2018-07-28;2018-07-30;;;;;
330;KIWS14;yes;1;2019-06-07;2019-06-09;;;;;
330;KIWS14;yes;2;2018-05-01;2018-05-01;;;;;
330;KIWS14;yes;3;2019-04-26;2019-05-11;;;;;
330;KIWS14;yes;4;2019-06-14;2019-06-14;2018-06-04;2018-06-12;;;
262;KIWS20;yes;1;2018-03-20;2018-03-20;;;;;
262;KIWS20;yes;2;2018-03-29;2018-03-29;;;;;
262;KIWS20;yes;3;2018-05-12;2018-05-12;;;;;
262;KIWS20;yes;4;2018-05-27;2018-05-27;;;;;
262;KIWS20;yes;5;2018-05-28;2018-06-06;;;;;
262;KIWS20;yes;6;2018-06-14;2018-06-15;;;;;
262;KIWS20;yes;7;2018-07-04;2018-07-04;;;;;
262;KIWS20;yes;8;2018-07-16;2018-07-19;;;;;
262;KIWS20;yes;9;2019-04-04;2019-04-05;;;;;
262;KIWS20;yes;10;2019-07-27;2019-07-27;;;;;
262;KIWS20;yes;11;2020-06-11;2020-07-24;;;;;
421;KIWS21;yes;1;2018-05-25;2018-05-25;;;;;
421;KIWS21;yes;2;2018-06-01;2018-06-10;;;;;
421;KIWS21;yes;3;2018-07-01;2018-07-05;;;;;
260;KIWS23;yes;1;2018-03-15;2018-03-19;;;;;
260;KIWS23;yes;2;2018-04-15;2018-04-24;;;;;
260;KIWS23;yes;3;2018-04-29;2018-05-17;;;;;
260;KIWS23;yes;4;2018-05-30;2018-06-15;;;;;
260;KIWS23;yes;5;2018-07-04;2018-07-08;;;;;
260;KIWS23;yes;6;2018-07-30;2018-08-01;;;;;
260;KIWS23;yes;7;2019-03-25;2019-03-25;;;;;
260;KIWS23;yes;8;2019-03-06;2019-03-06;;;;;
260;KIWS23;yes;9;2019-06-29;2019-07-03;;;;;
260;KIWS23;yes;10;2020-05-11;2020-05-13;;;;;
260;KIWS23;yes;11;2020-06-17;2020-06-17;;;;;
270;KIWS30;yes;1;2018-04-14;2018-04-14;;;;;
270;KIWS30;yes;2;2018-06-26;2018-06-27;;;;;
270;KIWS30;yes;3;2018-06-05;2018-06-12;;;;;
270;KIWS30;yes;4;2018-07-07;2018-07-07;;;;;
270;KIWS30;yes;5;2018-07-26;2018-07-27;;;;;
254;KIWS31;yes;1;2019-06-05;2019-06-05;;;;;
254;KIWS31;yes;2;2019-07-16;2019-07-16;;;;;
347;KIWS37;yes;1;2018-07-03;2018-07-04;;;;;
308;KIWS46;yes;1;2018-06-04;2018-06-06;;;;;
308;KIWS46;yes;2;2019-03-16;2019-03-17;;;;;
308;KIWS46;yes;3;2019-05-11;2019-05-11;;;;;
370;KIWS47;yes;1;2018-07-08;2018-07-08;;;;;
349;KIWS48;yes;1;2018-05-16;2018-05-17;;;;;
349;KIWS48;yes;2;2018-05-31;2018-06-10;;;;;
349;KIWS48;yes;3;2018-06-18;2018-06-18;;;;;
349;KIWS48;yes;4;2019-06-09;2019-06-10;;;;;
349;KIWS48;yes;5;2018-07-05;2018-07-05;;;;;
349;KIWS48;yes;6;2018-07-20;2018-07-20;;;;;
349;KIWS48;yes;7;2018-07-27;2018-07-28;;;;;
282;KIWS50;yes;1;2018-05-30;2018-05-30;;;;;
396;KIWS51;yes;1;2019-04-27;2019-04-27;;;;;
396;KIWS51;yes;2;2018-07-14;2018-07-19;;;;;
306;KIWS53;yes;1;2018-04-16;2018-05-04;;;;;
306;KIWS53;yes;2;2018-05-12;2018-05-21;;;;;
306;KIWS53;yes;3;2018-05-27;2018-05-27;;;;;
306;KIWS53;yes;4;2018-06-03;2018-06-25;;;;;
306;KIWS53;yes;5;2018-07-30;2018-07-31;;;;;
337;KIWS59;yes;1;2018-05-28;2018-05-28;;;;;
337;KIWS59;yes;2;2018-06-06;2018-06-07;;;;;
337;KIWS59;yes;3;2018-06-10;2018-06-10;;;;;
430;KIWS60;yes;1;2018-05-13;2018-05-13;;;;;
303;KIWS61;yes;1;2018-06-07;2018-06-15;;;;;
303;KIWS61;yes;2;2018-06-23;2018-06-23;;;;;
303;KIWS61;yes;3;2019-04-26;2019-04-27;;;;;
303;KIWS61;yes;4;2018-07-03;2018-07-09;;;;;
