bird_ID;TransmGSM;exclude;Sett_year_Val;spring_start_6;spring_end_6;last_start_6;last_end_6;longest_start_6;longest_end_6;spring_start_9;spring_end_9;last_start_9;last_end_9;longest_start_9;longest_end_9;start_date_settlement;last_end_date_settlement;alt_start;alt_end;recommended_start_date_settlement;recommended_end_date_settlement;lowest_start;x_more_points_possible;lowest_HR
497;16329F1C;NA;2020;2019-06-02;2019-06-08;2019-09-11;2019-09-12;2019-08-04;2019-08-30;2019-06-02;2019-06-09;2019-09-25;2019-09-26;2019-08-03;2019-08-31;2020-03-19;2020-11-20;2020-03-20;2020-07-09;2020-03-19;2020-06-16;2019-08-18;29;0.25
495;3B319F1C;NA;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-02-18;2021-04-12;2020-07-02;1;22.0
322;BC38EB1D;NA;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-04-17;2019-11-26;2019-04-24;2019-06-25 / 2019-07-11;2019-04-24;2019-06-22;2018-09-24;1;28.7
492;BD319F1C;NA;;;;;;;;;;;;;;;;;;2021-03-12;2021-04-12;;;
511;KISA23;NA;;;;;;;;;;;;;;;;;;2021-03-09;2021-04-12;;;
426;KISA25;NA;;;;;;;;;;;;;;;;;;2021-03-23;2021-04-12;;;
710;KISS02;yes;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA
416;KISW01;NA;2020;NA;NA;2019-09-26;2019-09-26;2018-08-02;2018-08-30;NA;NA;2019-09-26;2019-09-26;2018-08-02;2018-08-30;2020-03-12;2020-09-21;NA;2020-08-02;2020-03-12;2020-04-29;2018-08-27;21;0.85
422;KIWS11;yes;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-05-27;3;0.57
291;KIWS13;NA;2020;NA;NA;2018-08-10;2018-08-19;2018-08-10;2018-08-19;2018-07-28;2018-07-28;2018-08-10;2018-08-19;2018-08-10;2018-08-19;2020-02-16;2020-11-21;NA;2020-08-06;2020-02-16;2020-06-26;2018-08-19;8;1.78
330;KIWS14;NA;2020;2019-05-08;2019-05-10;2019-08-09;2019-08-11;2019-08-09;2019-08-11;2019-05-08;2019-05-10;2019-08-07;2019-08-13;2019-08-07;2019-08-13;2020-03-01;2020-07-13;2020-03-12;2020-05-24;2020-03-01;2020-07-13;2019-06-07;1;0.84
262;KIWS20;NA;;;;;;;;;;;;;;;;;;2021-03-03;2021-04-12;;;
421;KIWS21;NA;2020;2018-06-01;2018-06-09;2018-09-03;2018-09-04;2018-06-01;2018-06-09;2018-06-01;2018-06-09;2018-09-03;2018-09-05;2018-06-01;2018-06-09;2020-04-01;2020-11-01;NA;NA;2020-04-01;2020-06-13;2018-08-28;0;0.96
260;KIWS23;NA;;;;;;;;;;;;;;;;;;2021-02-24;2021-04-12;;;
