"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"842";"Ornitela_195";"Settlement";13.008464;48.033563;"2021-04-14";"2021-05-24"
"488";"01F0C31C";"Potato";7.30456;46.83804;"2019-05-08";"2019-05-11"
"497";"16329F1C";"Potato";9.011524;47.259401;"2019-07-02";"2019-07-22"
"495";"3B319F1C";"Potato";9.104066;47.380095;"2020-07-04";"2020-07-06"
"322";"BC38EB1D";"Potato";7.353953;46.770653;"2017-08-25";"2017-08-27"
"492";"BD319F1C";"Potato";6.939691;46.655772;"2020-03-22";"2020-03-30"
"506";"KISA15";"Potato";3.008722;45.468089;"2020-05-28";"2020-06-05"
"514";"KISA20";"Potato";7.370652;46.846695;"2020-07-01";"2020-07-03"
"511";"KISA23";"Potato";6.836255;46.648953;"2020-05-12";"2020-05-15"
"426";"KISA25";"Potato";6.842996;46.612119;"2019-03-08";"2019-03-10"
"416";"KISW01";"Potato";7.179933;46.767642;"2019-05-19";"2019-05-21"
"291";"KIWS13";"Potato";7.162144;46.871442;"2018-06-10";"2018-06-13"
"330";"KIWS14";"Potato";7.204586;46.89662;"2018-05-01";"2018-05-03"
"262";"KIWS20";"Potato";7.41616;46.841385;"2018-07-04";"2018-07-06"
"421";"KIWS21";"Potato";7.405466;46.841062;"2018-06-01";"2018-06-12"
"260";"KIWS23";"Potato";7.235064;46.814369;"2019-03-25";"2019-03-27"
"270";"KIWS30";"Potato";10.970262;47.745314;"2018-07-07";"2018-07-09"
"254";"KIWS31";"Potato";7.356467;46.77275;"2019-07-16";"2019-07-18"
"347";"KIWS37";"Potato";7.898517;46.927618;"2018-07-03";"2018-07-06"
"308";"KIWS46";"Potato";7.414067;46.80546;"2019-03-16";"2019-03-19"
"370";"KIWS47";"Potato";7.396054;46.839265;"2018-07-08";"2018-07-10"
"349";"KIWS48";"Potato";7.535676;47.351072;"2018-07-05";"2018-07-07"
"282";"KIWS50";"Potato";7.304954;46.77563;"2018-05-30";"2018-06-01"
"396";"KIWS51";"Potato";7.315268;46.775947;"2018-07-14";"2018-07-21"
"306";"KIWS53";"Potato";6.803933;47.067642;"2018-06-03";"2018-06-27"
