fid;bird_ID;TransmGSM;Type;Start;end.movwindow;End;cutoff;LON;LAT;Counter
1;488;01F0C31C;Potato;2019-05-08;2019-05-09;2019-05-11;9;7.30456;46.83804;Joni
2;488;01F0C31C;Settlement;2021-04-18;2021-04-25;2021-04-29;6;7.39396;46.828761;Joni
3;497;16329F1C;Potato;2019-07-02;2019-07-20;2019-07-22;9;9.011524;47.259401;Joni
4;497;16329F1C;Settlement;2020-03-19;2020-06-16;2020-06-20;6;7.138205;46.708603;Joni
5;495;3B319F1C;Potato;2020-07-04;2020-07-04;2020-07-06;9;9.104066;47.380095;Etienne
6;495;3B319F1C;Settlement;2021-02-18;2021-04-18;2021-04-22;6;9.042069;47.40313;Etienne
7;322;BC38EB1D;Potato;2017-08-25;2017-08-25;2017-08-27;9;7.353953;46.770653;Lara
8;322;BC38EB1D;Settlement;2019-04-24;2019-06-22;2019-06-26;6;7.285441;46.770654;Lara
9;492;BD319F1C;Potato;2020-03-22;2020-03-28;2020-03-30;9;6.939691;46.655772;Edmee
10;492;BD319F1C;Settlement;2021-03-12;2021-04-18;2021-04-22;6;6.842466;46.620253;Edmee
11;506;KISA15;Potato;2020-05-28;2020-06-03;2020-06-05;9;3.008722;45.468089;Fiona
12;506;KISA15;Settlement;2021-04-07;2021-04-25;2021-04-29;6;3.02351;45.439243;Fiona
13;514;KISA20;Potato;2020-07-01;2020-07-01;2020-07-03;9;7.370652;46.846695;Joni
14;514;KISA20;Settlement;2021-04-19;2021-04-25;2021-04-29;6;7.355138;46.90144;Joni
15;511;KISA23;Potato;2020-05-12;2020-05-13;2020-05-15;9;6.836255;46.648953;Francesca
16;511;KISA23;Settlement;2021-03-09;2021-04-18;2021-04-22;6;7.240128;46.872476;Francesca
17;426;KISA25;Potato;2019-03-08;2019-03-08;2019-03-10;9;6.842996;46.612119;Edmee
18;426;KISA25;Settlement;2021-03-23;2021-04-18;2021-04-22;6;7.275115;46.761452;Edmee
19;416;KISW01;Potato;2019-05-19;2019-05-19;2019-05-21;9;7.179933;46.767642;Lara
20;416;KISW01;Settlement;2020-03-12;2020-04-29;2020-05-03;6;7.407049;46.812898;Lara
21;291;KIWS13;Potato;2018-07-28;2018-07-30;2018-08-01;9;7.250845;46.940641;Etienne
22;291;KIWS13;Settlement;2020-02-16;2020-06-26;2020-06-30;6;7.221434;46.965924;Etienne
23;330;KIWS14;Potato;2018-05-01;2018-05-01;2018-05-03;9;7.204586;46.89662;Rafa
24;330;KIWS14;Settlement;2020-03-01;2020-07-13;2020-07-17;6;7.16658;46.86632;Rafa
25;262;KIWS20;Potato;2018-07-04;2018-07-04;2018-07-06;9;7.41616;46.841385;Frank
26;262;KIWS20;Settlement;2021-03-03;2021-04-18;2021-04-22;6;7.226349;46.812192;Frank
27;421;KIWS21;Potato;2018-05-25;2018-05-25;2018-05-27;9;7.379295;46.830536;Etienne
28;421;KIWS21;Settlement;2020-04-01;2020-06-13;2020-06-17;6;7.247285;46.930024;Etienne
29;260;KIWS23;Potato;2019-03-25;2019-03-25;2019-03-27;9;7.235064;46.814369;Frank
30;260;KIWS23;Settlement;2021-02-24;2021-04-18;2021-04-22;6;7.136141;46.774674;Frank
31;270;KIWS30;Potato;2018-07-07;2018-07-07;2018-07-09;9;10.970262;47.745314;Lara
32;270;KIWS30;Settlement;2019-04-16;2019-07-30;2019-08-03;6;9.188886;47.42872;Lara
33;254;KIWS31;Potato;2019-07-16;2019-07-16;2019-07-18;9;7.356467;46.77275;Lara
34;254;KIWS31;Settlement;2020-04-07;2020-07-02;2020-07-06;6;7.270488;46.834133;Lara
35;347;KIWS37;Potato;2018-07-03;2018-07-04;2018-07-06;9;7.898517;46.927618;Joni
