"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"497";"16329F1C";"spring_6";9.037623;47.188524;"2019-06-02";"2019-06-12"
"497";"16329F1C";"last_6";8.994304;47.261435;"2019-09-11";"2019-09-16"
"497";"16329F1C";"longest_6";9.010817;47.371551;"2019-08-04";"2019-09-03"
"497";"16329F1C";"spring_9";9.038124;47.18888;"2019-06-02";"2019-06-13"
"497";"16329F1C";"last_9";9.011388;47.250665;"2019-09-25";"2019-09-30"
"497";"16329F1C";"longest_9";9.011126;47.372346;"2019-08-03";"2019-09-04"
"497";"16329F1C";"settlement_6";7.138205;46.708603;"2020-03-19";"2020-06-20"
"322";"BC38EB1D";"spring_6";NA;NA;"NA";"NA"
"322";"BC38EB1D";"last_6";NA;NA;"NA";"NA"
"322";"BC38EB1D";"longest_6";NA;NA;"NA";"NA"
"322";"BC38EB1D";"spring_9";NA;NA;"NA";"NA"
"322";"BC38EB1D";"last_9";NA;NA;"NA";"NA"
"322";"BC38EB1D";"longest_9";NA;NA;"NA";"NA"
"322";"BC38EB1D";"settlement_6";7.285441;46.770654;"2019-04-24";"2019-06-26"
"416";"KISW01";"spring_6";NA;NA;"NA";"NA"
"416";"KISW01";"last_6";7.454843;46.815967;"2019-09-26";"2019-09-30"
"416";"KISW01";"longest_6";8.745325;46.880375;"2018-08-02";"2018-09-03"
"416";"KISW01";"spring_9";NA;NA;"NA";"NA"
"416";"KISW01";"last_9";7.454843;46.815967;"2019-09-26";"2019-09-30"
"416";"KISW01";"longest_9";8.744835;46.880412;"2018-08-02";"2018-09-03"
"416";"KISW01";"settlement_6";7.407049;46.812898;"2020-03-12";"2020-05-03"
"291";"KIWS13";"spring_6";NA;NA;"NA";"NA"
"291";"KIWS13";"last_6";7.329701;46.981128;"2018-08-10";"2018-08-23"
"291";"KIWS13";"longest_6";7.329701;46.981128;"2018-08-10";"2018-08-23"
"291";"KIWS13";"spring_9";7.250845;46.940641;"2018-07-28";"2018-08-01"
"291";"KIWS13";"last_9";7.329701;46.981128;"2018-08-10";"2018-08-23"
"291";"KIWS13";"longest_9";7.329701;46.981128;"2018-08-10";"2018-08-23"
"291";"KIWS13";"settlement_6";7.221434;46.965924;"2020-02-16";"2020-06-30"
"330";"KIWS14";"spring_6";5.868735;46.801552;"2019-05-08";"2019-05-14"
"330";"KIWS14";"last_6";5.927381;46.932415;"2019-08-09";"2019-08-15"
"330";"KIWS14";"longest_6";5.927381;46.932415;"2019-08-09";"2019-08-15"
"330";"KIWS14";"spring_9";5.868735;46.801552;"2019-05-08";"2019-05-14"
"330";"KIWS14";"last_9";5.929707;46.930784;"2019-08-07";"2019-08-17"
"330";"KIWS14";"longest_9";5.929707;46.930784;"2019-08-07";"2019-08-17"
"330";"KIWS14";"settlement_6";7.16658;46.86632;"2020-03-01";"2020-07-17"
"421";"KIWS21";"spring_6";7.404942;46.841029;"2018-06-01";"2018-06-13"
"421";"KIWS21";"last_6";7.300729;46.764214;"2018-09-03";"2018-09-08"
"421";"KIWS21";"longest_6";7.404942;46.841029;"2018-06-01";"2018-06-13"
"421";"KIWS21";"spring_9";7.404942;46.841029;"2018-06-01";"2018-06-13"
"421";"KIWS21";"last_9";7.301523;46.764077;"2018-09-03";"2018-09-09"
"421";"KIWS21";"longest_9";7.404942;46.841029;"2018-06-01";"2018-06-13"
"421";"KIWS21";"settlement_6";7.247285;46.930024;"2020-04-01";"2020-06-17"
"270";"KIWS30";"spring_6";9.199721;47.40135;"2019-02-06";"2019-02-13"
"270";"KIWS30";"last_6";9.31925;47.377013;"2018-08-25";"2018-09-10"
"270";"KIWS30";"longest_6";9.31925;47.377013;"2018-08-25";"2018-09-10"
"270";"KIWS30";"spring_9";9.198553;47.401312;"2019-02-06";"2019-02-14"
"270";"KIWS30";"last_9";9.31925;47.377013;"2018-08-25";"2018-09-10"
"270";"KIWS30";"longest_9";9.31925;47.377013;"2018-08-25";"2018-09-10"
"270";"KIWS30";"settlement_6";9.188886;47.42872;"2019-04-16";"2019-08-03"
"254";"KIWS31";"spring_6";NA;NA;"NA";"NA"
"254";"KIWS31";"last_6";NA;NA;"NA";"NA"
"254";"KIWS31";"longest_6";NA;NA;"NA";"NA"
"254";"KIWS31";"spring_9";NA;NA;"NA";"NA"
"254";"KIWS31";"last_9";7.365709;46.805123;"2019-09-08";"2019-09-12"
"254";"KIWS31";"longest_9";NA;NA;"NA";"NA"
"254";"KIWS31";"settlement_6";7.270488;46.834133;"2020-04-07";"2020-07-06"
"347";"KIWS37";"spring_6";NA;NA;"NA";"NA"
"347";"KIWS37";"last_6";NA;NA;"NA";"NA"
"347";"KIWS37";"longest_6";NA;NA;"NA";"NA"
"347";"KIWS37";"spring_9";NA;NA;"NA";"NA"
"347";"KIWS37";"last_9";NA;NA;"NA";"NA"
"347";"KIWS37";"longest_9";NA;NA;"NA";"NA"
"347";"KIWS37";"settlement_6";7.300935;46.800288;"2020-02-15";"2020-07-13"
"308";"KIWS46";"spring_6";7.301535;46.784451;"2018-06-04";"2018-06-08"
"308";"KIWS46";"last_6";7.144658;46.746524;"2019-11-02";"2019-11-09"
"308";"KIWS46";"longest_6";NA;NA;"2018-10-04";"2018-10-18"
"308";"KIWS46";"spring_9";7.30267;46.780706;"2018-06-02";"2018-06-09"
"308";"KIWS46";"last_9";7.144658;46.746524;"2019-11-02";"2019-11-09"
"308";"KIWS46";"longest_9";7.306129;46.769354;"2018-10-01";"2018-10-19"
"308";"KIWS46";"settlement_6";7.33437;46.759352;"2020-04-05";"2020-07-17"
"370";"KIWS47";"spring_6";NA;NA;"NA";"NA"
"370";"KIWS47";"last_6";7.35936;46.77034;"2018-07-30";"2018-08-04"
"370";"KIWS47";"longest_6";7.35936;46.77034;"2018-07-30";"2018-08-04"
"370";"KIWS47";"spring_9";NA;NA;"NA";"NA"
"370";"KIWS47";"last_9";NA;NA;"NA";"2018-08-04"
"370";"KIWS47";"longest_9";NA;NA;"NA";"2018-08-04"
"370";"KIWS47";"settlement_6";7.379607;46.812804;"2020-02-28";"2020-07-12"
"349";"KIWS48";"spring_6";NA;NA;"NA";"NA"
"349";"KIWS48";"last_6";7.229243;46.80091;"2019-10-28";"2019-11-01"
"349";"KIWS48";"longest_6";7.206935;46.771402;"2018-10-27";"2018-11-06"
"349";"KIWS48";"spring_9";8.661141;47.131787;"2018-05-31";"2018-06-11"
"349";"KIWS48";"last_9";7.229243;46.80091;"2019-10-28";"2019-11-01"
"349";"KIWS48";"longest_9";7.204312;46.770453;"2018-10-27";"2018-11-10"
"349";"KIWS48";"settlement_6";7.175449;46.858634;"2020-02-22";"2020-05-27"
"282";"KIWS50";"spring_6";NA;NA;"NA";"NA"
"282";"KIWS50";"last_6";NA;NA;"NA";"NA"
"282";"KIWS50";"longest_6";NA;NA;"NA";"NA"
"282";"KIWS50";"spring_9";NA;NA;"NA";"NA"
"282";"KIWS50";"last_9";NA;NA;"NA";"NA"
"282";"KIWS50";"longest_9";NA;NA;"NA";"NA"
"282";"KIWS50";"settlement_6";7.23687;46.794666;"2020-03-04";"2020-05-29"
"396";"KIWS51";"spring_6";7.315268;46.775947;"2018-07-14";"2018-07-21"
"396";"KIWS51";"last_6";7.293585;46.809122;"2019-10-19";"2019-10-23"
"396";"KIWS51";"longest_6";7.315268;46.775947;"2018-07-14";"2018-07-21"
"396";"KIWS51";"spring_9";7.314341;46.776349;"2018-07-13";"2018-07-22"
"396";"KIWS51";"last_9";7.293585;46.809122;"2019-10-19";"2019-10-23"
"396";"KIWS51";"longest_9";7.314341;46.776349;"2018-07-13";"2018-07-22"
"396";"KIWS51";"settlement_6";7.356263;46.786068;"2020-04-06";"2020-07-19"
"306";"KIWS53";"spring_6";6.745411;46.977038;"2018-05-02";"2018-05-06"
"306";"KIWS53";"last_6";7.180303;46.762383;"2019-11-14";"2019-11-19"
"306";"KIWS53";"longest_6";6.803713;47.06755;"2018-06-03";"2018-06-26"
"306";"KIWS53";"spring_9";6.745411;46.977038;"2018-05-02";"2018-05-06"
"306";"KIWS53";"last_9";7.181481;46.763071;"2019-11-14";"2019-11-20"
"306";"KIWS53";"longest_9";6.803933;47.067642;"2018-06-03";"2018-06-27"
"306";"KIWS53";"settlement_6";7.246696;46.784317;"2020-04-17";"2020-07-17"
"337";"KIWS59";"spring_6";NA;NA;"NA";"NA"
"337";"KIWS59";"last_6";NA;NA;"NA";"NA"
"337";"KIWS59";"longest_6";NA;NA;"NA";"NA"
"337";"KIWS59";"spring_9";NA;NA;"NA";"NA"
"337";"KIWS59";"last_9";NA;NA;"NA";"NA"
"337";"KIWS59";"longest_9";NA;NA;"NA";"NA"
"337";"KIWS59";"settlement_6";7.196065;46.892514;"2019-03-07";"2019-05-15"
"430";"KIWS60";"spring_6";NA;NA;"NA";"NA"
"430";"KIWS60";"last_6";7.209004;46.773121;"2018-10-26";"2018-10-31"
"430";"KIWS60";"longest_6";7.209004;46.773121;"2018-10-26";"2018-10-31"
"430";"KIWS60";"spring_9";NA;NA;"NA";"NA"
"430";"KIWS60";"last_9";7.209004;46.773121;"2018-10-26";"2018-10-31"
"430";"KIWS60";"longest_9";7.209004;46.773121;"2018-10-26";"2018-10-31"
"430";"KIWS60";"settlement_6";7.366872;46.820153;"2020-03-15";"2020-06-11"
"303";"KIWS61";"spring_6";NA;NA;"NA";"NA"
"303";"KIWS61";"last_6";7.612502;47.115185;"2018-11-16";"2018-11-22"
"303";"KIWS61";"longest_6";11.131406;48.201342;"2018-08-15";"2018-09-22"
"303";"KIWS61";"spring_9";7.300971;46.790081;"2018-06-06";"2018-06-11"
"303";"KIWS61";"last_9";7.612502;47.115185;"2018-11-16";"2018-11-22"
"303";"KIWS61";"longest_9";11.13108;48.20039;"2018-08-07";"2018-10-10"
"303";"KIWS61";"settlement_6";7.32715;46.858099;"2020-03-03";"2020-06-16"
"391";"KIWS65";"spring_6";NA;NA;"NA";"NA"
"391";"KIWS65";"last_6";NA;NA;"NA";"NA"
"391";"KIWS65";"longest_6";NA;NA;"NA";"NA"
"391";"KIWS65";"spring_9";NA;NA;"NA";"NA"
"391";"KIWS65";"last_9";NA;NA;"NA";"NA"
"391";"KIWS65";"longest_9";NA;NA;"NA";"NA"
"391";"KIWS65";"settlement_6";7.306546;46.811454;"2019-03-20";"2019-06-15"
"286";"KIWS83";"spring_6";7.721108;46.883605;"2018-06-24";"2018-06-29"
"286";"KIWS83";"last_6";7.377656;46.77686;"2018-08-22";"2018-09-02"
"286";"KIWS83";"longest_6";7.377656;46.77686;"2018-08-22";"2018-09-02"
"286";"KIWS83";"spring_9";7.721108;46.883605;"2018-06-24";"2018-06-29"
"286";"KIWS83";"last_9";7.377656;46.77686;"2018-08-22";"2018-09-02"
"286";"KIWS83";"longest_9";7.377656;46.77686;"2018-08-22";"2018-09-02"
"286";"KIWS83";"settlement_6";6.571272;46.329731;"2019-03-24";"2019-05-04"
"342";"KIWS93";"spring_6";NA;NA;"NA";"NA"
"342";"KIWS93";"last_6";NA;NA;"NA";"NA"
"342";"KIWS93";"longest_6";NA;NA;"NA";"NA"
"342";"KIWS93";"spring_9";NA;NA;"NA";"NA"
"342";"KIWS93";"last_9";7.447762;46.815292;"2019-11-05";"2019-11-09"
"342";"KIWS93";"longest_9";7.460536;46.815664;"2019-10-21";"2019-10-26"
"342";"KIWS93";"settlement_6";7.388561;46.798624;"2020-03-13";"2020-05-26"
"517";"KIWS95";"spring_6";7.892074;47.193202;"2019-06-03";"2019-06-16"
"517";"KIWS95";"last_6";7.342973;47.42749;"2019-11-03";"2019-11-08"
"517";"KIWS95";"longest_6";7.892074;47.193202;"2019-06-03";"2019-06-16"
