bird_ID;TransmGSM;Type;LON;LAT;Start;End
497;16329F1C;Potato;9.011524;47.259401;2019-07-02;2019-07-22
497;16329F1C;Settlement;7.138205;46.708603;2020-03-19;2020-06-20
495;3B319F1C;Potato;9.104066;47.380095;2020-07-04;2020-07-06
495;3B319F1C;Settlement;9.041639;47.402749;2021-02-18;2021-04-03
322;BC38EB1D;Potato;7.353953;46.770653;2017-08-25;2017-08-27
322;BC38EB1D;Settlement;7.285184;46.771456;2019-04-24;2019-06-26
492;BD319F1C;Potato;6.939691;46.655772;2020-03-22;2020-03-30
492;BD319F1C;Settlement;6.843615;46.620178;2021-03-12;2021-04-03
511;KISA23;Potato;6.836255;46.648953;2020-05-12;2020-05-15
511;KISA23;Settlement;7.23989;46.872415;2021-03-09;2021-04-16
426;KISA25;Potato;6.842996;46.612119;2019-03-08;2019-03-10
426;KISA25;Settlement;7.274663;46.76162;2021-03-23;2021-04-03
416;KISW01;Potato;7.179933;46.767642;2019-05-19;2019-05-21
416;KISW01;Settlement;7.407049;46.812898;2020-03-12;2020-05-03
291;KIWS13;Potato;7.250845;46.940641;2018-07-28;2018-08-01
291;KIWS13;Settlement;7.221434;46.965924;2020-02-16;2020-06-30
330;KIWS14;Potato;6.247875;46.97698;2019-06-14;2019-06-16
330;KIWS14;Settlement;7.16658;46.86632;2020-03-01;2020-07-17
262;KIWS20;Potato;7.41616;46.841385;2018-07-04;2018-07-06
262;KIWS20;Settlement;7.225922;46.811293;2021-03-03;2021-04-16
421;KIWS21;Potato;7.379295;46.830536;2018-05-25;2018-05-27
421;KIWS21;Settlement;7.247285;46.930024;2020-04-01;2020-06-17
260;KIWS23;Potato;7.235064;46.814369;2019-03-25;2019-03-27
260;KIWS23;Settlement;7.136141;46.774674;2021-02-24;2021-04-03
270;KIWS30;Potato;10.970262;47.745314;2018-07-07;2018-07-09
270;KIWS30;Settlement;9.188886;47.42872;2019-04-16;2019-08-03
254;KIWS31;Potato;7.356467;46.77275;2019-07-16;2019-07-18
254;KIWS31;Settlement;7.270488;46.834133;2020-04-07;2020-07-06
347;KIWS37;Potato;7.898517;46.927618;2018-07-03;2018-07-06
347;KIWS37;Settlement;7.300935;46.800288;2020-02-15;2020-07-13
308;KIWS46;Potato;7.414067;46.80546;2019-03-16;2019-03-19
308;KIWS46;Settlement;7.33437;46.759352;2020-04-05;2020-07-17
370;KIWS47;Potato;7.396054;46.839265;2018-07-08;2018-07-10
370;KIWS47;Settlement;7.379607;46.812804;2020-02-28;2020-07-12
349;KIWS48;Potato;7.535676;47.351072;2018-07-05;2018-07-07
349;KIWS48;Settlement;7.175449;46.858634;2020-02-22;2020-05-27
282;KIWS50;Potato;7.304954;46.77563;2018-05-30;2018-06-01
282;KIWS50;Settlement;7.23687;46.794666;2020-03-04;2020-05-29
396;KIWS51;Potato;7.315268;46.775947;2018-07-14;2018-07-21
396;KIWS51;Settlement;7.356263;46.786068;2020-04-06;2020-07-19
306;KIWS53;Potato;6.754629;46.999228;2018-05-27;2018-05-29
306;KIWS53;Settlement;7.250631;46.78594;2020-04-17;2020-06-01
337;KIWS59;Potato;6.698234;46.974809;2018-06-10;2018-06-12
337;KIWS59;Settlement;7.196065;46.892514;2019-03-07;2019-05-15
430;KIWS60;Potato;7.328216;46.817146;2018-05-13;2018-05-15
430;KIWS60;Settlement;7.366872;46.820153;2020-03-15;2020-06-11
303;KIWS61;Potato;9.9795;47.457834;2018-07-03;2018-07-11
303;KIWS61;Settlement;7.32715;46.858099;2020-03-03;2020-06-16
391;KIWS65;Potato;7.283274;46.842378;2017-07-26;2017-07-30
391;KIWS65;Settlement;7.306546;46.811454;2019-03-20;2019-06-15
402;KIWS71;Potato;7.36841;46.854965;2018-05-07;2018-05-11
402;KIWS71;Settlement;7.360067;46.795919;2021-03-03;2021-04-03
304;KIWS75;Potato;7.898597;47.079708;2018-06-07;2018-06-09
304;KIWS75;Settlement;8.888053;47.157888;2021-02-16;2021-04-03
343;KIWS79;Potato;8.444985;48.181591;2018-05-10;2018-05-17
343;KIWS79;Settlement;7.389463;46.802864;2021-03-04;2021-04-03
286;KIWS83;Potato;7.721108;46.883605;2018-06-24;2018-06-29
286;KIWS83;Settlement;6.571272;46.329731;2019-03-24;2019-05-04
285;KIWS92;Potato;7.303606;46.792378;2019-04-12;2019-04-19
285;KIWS92;Settlement;7.342256;46.775374;2021-04-04;2021-04-16
