bird_ID;TransmGSM;Sex;Hatchyear;Sett_year;TerritoryID_Sett_year;Square;nest_name_17;nest_x_17;nest_y_17;nest_ID_17;nest_name_18;nest_x_18;nest_y_18;nest_ID_18;nest_name_19;nest_x_19;nest_y_19;nest_ID_19;nest_name_20;nest_x_20;nest_y_20;nest_ID_20;Nested_for_sure;Nest_Sett_year;Notes
497;16329F1C;f;2018;2020;69;outS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
322;BC38EB1D;f;2017;2019;3;K20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;642_Brunisried_Wilersguet;7.2896;46.7710;642;0;NA;
416;KISW01;f;2017;2020;10;outE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;703_Rueggisberg_Schwanden;7.4070;46.8130;703;1;703_Rueggisberg_Schwanden;
291;KIWS13;m;2017;2020;175;outN (Kerzers);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
330;KIWS14;f;2017;2020;92;G16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;696_Cordast_Petit_Vivy;7.1737;46.8681;696;0;679_Kleingurmels_Chateaux or nearby;
421;KIWS21;m;2017;2020;230;outN (Laupen);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
270;KIWS30;f;2017;2019;69;outFeast;NA;NA;NA;NA;NA;NA;NA;NA;597_Niederwil_Fuchsloch;9.1886;47.4285;597;698_Niederwil_Fuchsloch_20;9.1916;47.4299;698;1;597_Niederwil_Fuchsloch;also called St.Gallen_Flawil
254;KIWS31;f;2017;2020;182;I19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
347;KIWS37;m;2017;2020;160;J20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
308;KIWS46;f;2017;2020;121;L22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;643_Guggisberg_Underbalm_20;7.3441;46.7500;643;1;643_Guggisberg_Underbalm_20;
370;KIWS47;m;2017;2020;173;outE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;647_Mamishaus_Tännlenen;7.3780;46.8144;647;1;647_Mamishaus_Tännlenen;
349;KIWS48;f;2017;2020;2;H16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;627_Düdingen_Fuchsenacher;7.1754;46.8585;627;1;627_Dudingen_Fuchsenacher;
282;KIWS50;m;2017;2020;6;K18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
396;KIWS51;m;2017;2020;227;K22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
306;KIWS53;f;2017;2020;157;K19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;710_Alterswil_Wolperswil_20;7.2499;46.7855;710;1;710_Alterswil_Wolperswil_20;
337;KIWS59;f;2017;2019;4;F17;NA;NA;NA;NA;NA;NA;NA;NA;516_Kleinbösingen_Müllerholz;7.1958;46.8925;516;654_Gurmels_Kleinbösingen_20;7.2038;46.8891;654;1;516_Kleingurmels_Müllerholz;
430;KIWS60;m;2017;2020;39;I22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;684_Elisried_Führen;7.3672;46.8241;684;1;684_Elisried_Führen;
303;KIWS61;f;2017;2020;4;H21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;690_Ueberstorf_Hargart;7.3262;46.8578;690;1;690_Ueberstorf_Hargart;
391;KIWS65;m;2017;2019;111;J20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;695_St.Antoni_Dürrenboden;7.3015;46.8098;695;0;NA;somewhere called St._Antoni_Chüeweid (2019?)
286;KIWS83;m;2017;2019;195;outFR;NA;NA;NA;NA;NA;NA;NA;NA;574_Thonon-les-Baines_Reyvroz;6.5730;46.3310;574;NA;NA;NA;NA;1;574_Thonon-les-Baines_Reyvroz;
342;KIWS93;m;2017;2020;71;outE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;675_Milken_Weizacker;7.3896;46.7991;675;1;675_Milken_Weizacker;
517;KIWS95;m;2018;2020;5;outCZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;715_Czech_Republic;16.5733;49.4215;715;1;715_Czech_republic;
350;KIWS96;f;2017;2020;125;M19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
171;SWIK03;f;2015;2019;190;outW;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;712_Massonens_Neirigue;6.9515;46.6830;712;0;NA;
315;SWIK05;f;2017;2019;194;outFeast;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;
161;SWIK07;f;2015;2019;71;outGE;NA;NA;NA;NA;NA;NA;NA;NA;572_Germany_Henschenberg;7.7694;47.6992;572;NA;NA;NA;NA;1;572_Germany_Henschenberg;dead (2021)
142;SWIK12;f;2015;2018;127;outW;NA;NA;NA;NA;446_Ursy_Au Cuard;6.8198;46.6255;446;446_Ursy_Au Cuard;6.8198;46.6255;446;676_Ursy_Au_Cuard_20;6.8198;46.6254;676;1;446_Ursy_Au_Cuard;
164;SWIK16;f;2015;2018;165;outE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;dead (2018)
137;SWIK17;f;2015;2017;162;G21;293_Ueberstorf_Niedermettlen_17;7.3254;46.8690;293;293_Ueberstorf_Niedermettlen_17;7.3254;46.8690;293;533_Ueberstorf_Niedermettlen_19;7.3236;46.8651;533;671_Ueberstorf_Niedermettlen_20;7.3260;46.8685;671;1;293_Ueberstorf_Niedermettlen_17;
82;SWIK23;m;2016;2019;48;L19;NA;NA;NA;NA;NA;NA;NA;NA;512_Rechthalten_Weissenstein;7.2526;46.7704;512;641_Rechthalten_Weissenstein_20;7.2524;46.7704;641;1;512_Rechthalten_Weissenstein;
138;SWIK25;f;2015;2017;168;J19;31_St. Antoni_Obermonten;7.2762;46.8086;31;429_St. Antoni_Moos;7.2669;46.8088;429;542_St.Antoni_Stockera_19;7.2715;46.8058;542;542_St.Antoni_Stockera_19;7.2715;46.8058;542;1;31_St. Antoni_Obermonten;
154;SWIK27;m;2015;2018;85;H19;NA;NA;NA;NA;421_Schmitten_Lanthen_18;7.2562;46.8470;421;537_Schmitten_Lanthen_19;7.2556;46.8471;537;421_Schmitten_Lanthen_18;7.2562;46.8470;421;1;421_Schmitten_Lanthen_18;
151;SWIK31;m;2015;2019;168;outW;NA;NA;NA;NA;NA;NA;NA;NA;593_Estavannes_Fossards;7.0953;46.5557;593;NA;NA;NA;NA;1;593_Estavannes_Fossards;
172;SWIK33;m;2015;2018;68;outS;NA;NA;NA;NA;430_Treyvaux_Traumatta;7.1309;46.7099;430;555_La Roche_Les Rontes;7.1329;46.7004;555;673_La Roche_Les Rontes_20;7.1323;46.6994;673;1;430_Treyvaux_Traumatta;
